ID_Review,aspect,change_type,old_label,new_label,old_reason,new_reason,source_action,model_prediction,model_confidence,Text_Review
8943,Kebersihan,apply_label_and_reason,none,negatif,,banyak sekali piring kotor didiamkan.,likely_missing_label,negatif,0.9405,"staf ramah, cuma kenapa mobil saya aja yang tidak dicuci. resto untuk sarapan crowded dan pelayannya tidak sigap. banyak sekali piring kotor didiamkan."
9551,Harga,apply_label_and_reason,none,positif,,"liburan bareng keluarga kecil, pelayanan ramah, makanan kecil murah dan bisa makan di kolam renang juga, kamar nyaman.",likely_missing_label,positif,0.9335,"liburan bareng keluarga kecil, pelayanan ramah, makanan kecil murah dan bisa makan di kolam renang juga, kamar nyaman."
1836,Pelayanan,apply_label_and_reason,none,positif,,"tempat ini tidak jauh dari segalanya, terima kasih santika, mereka sangat ramah dan membantu dengan lengkap, sampai jumpa lagi",likely_missing_label,positif,0.9264,"tempat ini tidak jauh dari segalanya, terima kasih santika, mereka sangat ramah dan membantu dengan lengkap, sampai jumpa lagi"
13606,Fasilitas,apply_label_and_reason,none,negatif,,"air conditioner kamar kurang dingin di 620, saya pesan kamar deluxe!",likely_missing_label,negatif,0.9236,"air conditioner kamar kurang dingin di 620, saya pesan kamar deluxe! tapi itu deluxe atau superior ya?"
1184,Kenyamanan,apply_label_and_reason,none,positif,,ruangan itu bersih dan nyaman.,likely_missing_label,positif,0.9194,ruangan itu bersih dan nyaman. kualitas makannya tidak bagus untuk makan malam tapi cukup bagus untuk sarapan. layanan binatu buruk - setrika perlu ditingkatkan.
750,Kenyamanan,apply_label_and_reason,none,negatif,,"minus hairdryer aja, dan tidak ada dispenser air, exhaust fan kamarmandi tidak terasa sirkulasinya, bantal kempes, cahaya kurang terang.",likely_missing_label,negatif,0.9178,"perdana stay, pasca drop off di lobby, effortnya susah cari parkir, untungnya ada akses dari dalam mall ke dalam hotel. request connecting room, hanya dapat 1 aksesdoor masing², jadi repot kalau mau naik lantai izin staf bantu tap lift. minus hairdryer aja, dan tidak ada dispenser air, exhaust fan kamarmandi tidak terasa sirkulasinya, bantal kempes, cahaya kurang terang. plusnya ada hiburan smarttv dan wi-fi superngebut. breakfastnya b aja, wafflenya rasa adonan pukis, dan roti tawar terlihat kurang fresh, tapi westernfoodnya lumayan enak. pelayanan staf fo kurang senyum, dan jangan lupa bawa struk parkir untuk stamp free parking."
1385,Kenyamanan,apply_label_and_reason,none,positif,,"hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu",likely_missing_label,positif,0.9176,"hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu"
838,Makanan,apply_label_and_reason,none,positif,,"lokasi dekat dengan mall shg mudah untuk cari makanan, ,",likely_missing_label,netral,0.9175,"lokasi dekat dengan mall shg mudah untuk cari makanan, ,"
2212,Makanan,apply_label_and_reason,none,positif,,breakfastnya banyak dan enak.,likely_missing_label,positif,0.9173,salah satu hotel yang biasa saya pesan apabila ke cirebon. harga tidak terlalu mahal. lokasi juga bagus. pelayanan staffnya bagus. breakfastnya banyak dan enak. kolam renangnya baik.
8936,Fasilitas,apply_label_and_reason,none,positif,,fasilitas untuk kursi roda tersedia.,likely_missing_label,positif,0.9151,staf sangat ramah dan membantu. fasilitas untuk kursi roda tersedia. recommended.
7505,Kenyamanan,apply_label_and_reason,none,positif,,"hotelnya sangat bagus, kamarnya sangat memuaskan.",likely_missing_label,positif,0.9128,"hotelnya sangat bagus, kamarnya sangat memuaskan. apalagi waktu sarapan pagi. menu komplit dan enak-enak banget. pelayanannya juga ramah-ramah dan selalu full senyum maze."
7823,Fasilitas,apply_label_and_reason,none,negatif,,"terus untuk kamar mandinya tidak ada sabun cair untuk cuci tangan, dikasihnya malah yang batang.",likely_missing_label,negatif,0.9115,"review dikit menginap disana. pegawai ramah semua. check-in dan check-out cepat. kamar sama kaya di gambar. minta request jendela dengan view dikasih. complimentary kamar free. air conditioner dingin. water heater dan exhaush fan baik. malam hari saya minta tolong pihak dapur untuk hangat makanan dilayani dengan baik dan cepat, sedikit saran, tempat sampah dikamar dan dikamar mandi kalau bisa bukanya yang di tekan pake kaki, gang yang tutupnya bisa di copot gt soalnya jadi dimaenin anak yang belum paham kalau itu tempat sampah. terus untuk kamar mandinya tidak ada sabun cair untuk cuci tangan, dikasihnya malah yang batang. agak repot ya. ini hotelnya tempel banget sama botani, karena covid, bayi gabisa masuk sana. tapi nyari makan banyak, bisa gojek dan enak-enak ko. parkiran juga gabung sama mal. buat yang menginap disana jangan lupa tiket parkirnya distempel sama pihak hotel biar free. untuk breakfast kurang variatif menunya, apalagi untuk rotinya, dikit banget. tidak ada roti tawar dan selai. overall baik ko. 8/10. terima kasih ya."
1263,Makanan,apply_label_and_reason,none,positif,,"pilihan sarapannya beragam, dari western hingga indonesia, dan saya pesan telur dadar dan rasanya enak.",likely_missing_label,positif,0.9014,"pilihan sarapannya beragam, dari western hingga indonesia, dan saya pesan telur dadar dan rasanya enak. ini setara dengan hotel bintang 4. lokasinya berada dalam jarak berjalan kaki ke kolam renang, pusat perbelanjaan, dan kebun raya. ruangannya luas dan saya bisa bersantai."
12627,Kenyamanan,apply_label_keep_or_add_reason,none,positif,kolam renangnya nyaman,kolam renangnya nyaman,likely_missing_label_from_reason,,,"pelayanannya bagus, hotelnya bersih, kolam renangnya nyaman."
13770,Kenyamanan,apply_label_keep_or_add_reason,none,negatif,kamar bau rokok,kamar bau rokok,likely_missing_label_from_reason,,,"senang staycation di hotel santika, sudah langganan kalau lagi ke tasikmalaya, cuma pesan kamar yang non smoking di kasih smoking room."
12790,Lokasi,apply_reason_only,negatif,negatif,,"00 check-in menerima kunci masuk kamar, kamar nyaman dan aman, karyawannya ramah-ramah dan responsif, sarapan pagi enak, hanya sayangnya akses lift ke hotel gabung dengan pengunjung mal jadi kalau mau naik turun lift agak lama.",add_missing_reason_keep_label,,,"proses administrasi tidak susah, pukul 14. 00 check-in menerima kunci masuk kamar, kamar nyaman dan aman, karyawannya ramah-ramah dan responsif, sarapan pagi enak, hanya sayangnya akses lift ke hotel gabung dengan pengunjung mal jadi kalau mau naik turun lift agak lama. sisanya baik."
13799,Kenyamanan,apply_reason_only,positif,positif,,"kamar bersih, kebetulan pesan room untuk hari birthday anak free slice cake.",add_missing_reason_keep_label,,,"kamar bersih, kebetulan pesan room untuk hari birthday anak free slice cake. sarapan rasa biasa saja, varian banyak. kamar mandi bersih."
13855,Kenyamanan,apply_reason_only,positif,positif,,"kamar juga baik, bersih.",add_missing_reason_keep_label,,,"lokasi strategis, deket ke beberapa lokasi kuliner jd ongkir gofood/grabfood nya lebih murah. kamar juga baik, bersih."
13940,Kenyamanan,apply_reason_only,negatif,negatif,,"the room was baik, handuk kurang putih, breakfast just normal and receptionist harusnya bisa lebih banyak kasih info alternatif.",add_missing_reason_keep_label,,,"the room was baik, handuk kurang putih, breakfast just normal and receptionist harusnya bisa lebih banyak kasih info alternatif."
14193,Kenyamanan,apply_reason_only,negatif,negatif,,"pros: lokasi jalan banyak makanan, breakfast baik, kamar roomy dan bersih.",add_missing_reason_keep_label,,,"pros: lokasi jalan banyak makanan, breakfast baik, kamar roomy dan bersih. con: koridor lantai 5 kalau malam agak bau."
14199,Kenyamanan,apply_reason_only,positif,positif,,"makanan lezat, layanan yang baik, kamarnya cukup bersih, dan hotel ini dekat dengan pusat kota.",add_missing_reason_keep_label,,,"makanan lezat, layanan yang baik, kamarnya cukup bersih, dan hotel ini dekat dengan pusat kota."
14697,Kenyamanan,apply_reason_only,positif,positif,,"hotel santika tasikmalaya, kami sekeluarga memuaskan, pelayanan kamar, security, makanan, kebersihan dan lokasi dalam kota.",add_missing_reason_keep_label,,,"hotel santika tasikmalaya, kami sekeluarga memuaskan, pelayanan kamar, security, makanan, kebersihan dan lokasi dalam kota."
13059,Pelayanan,apply_reason_only,positif,positif,,pelayanan dan fasilitasnya baik banget.,add_missing_reason_keep_label,,,pelayanan dan fasilitasnya baik banget.
13196,Pelayanan,apply_reason_only,positif,positif,,fasilitas dan layanan yang baik,add_missing_reason_keep_label,,,fasilitas dan layanan yang baik
13225,Pelayanan,apply_reason_only,positif,positif,,harga murah tapi pelayanan tidak murahan,add_missing_reason_keep_label,,,harga murah tapi pelayanan tidak murahan
13434,Pelayanan,apply_reason_only,positif,positif,,pelayanannya baik fasilitas hotelnya juga mantab,add_missing_reason_keep_label,,,pelayanannya baik fasilitas hotelnya juga mantab
13455,Pelayanan,apply_reason_only,positif,positif,,pelayanan baik.,add_missing_reason_keep_label,,,fasilitas bagus. pelayanan baik.
13469,Pelayanan,apply_reason_only,positif,positif,,"pelayanan yang ramah, makanannya enak",add_missing_reason_keep_label,,,"pelayanan yang ramah, makanannya enak"
13659,Pelayanan,apply_reason_only,positif,positif,,pelayanannya sangat ramah namun untuk variasi sarapan perlu ditambahkan lagi,add_missing_reason_keep_label,,,pelayanannya sangat ramah namun untuk variasi sarapan perlu ditambahkan lagi
13664,Pelayanan,apply_reason_only,positif,positif,,semua fasilitas mantul pelayanan ramah,add_missing_reason_keep_label,,,semua fasilitas mantul pelayanan ramah
13728,Pelayanan,apply_reason_only,positif,positif,,"hotel terfavorit, makanan banyak variasi, staf ramah",add_missing_reason_keep_label,,,"hotel terfavorit, makanan banyak variasi, staf ramah"
13901,Pelayanan,apply_reason_only,positif,positif,,fasilitas lengkap pelayanan memuaskan.,add_missing_reason_keep_label,,,fasilitas lengkap pelayanan memuaskan.
14364,Pelayanan,apply_reason_only,positif,positif,,pelayanan dan fasilitas cukup memuaskan,add_missing_reason_keep_label,,,pelayanan dan fasilitas cukup memuaskan
12296,Makanan,apply_reason_only,netral,netral,,"makanan lumayan, kamar bersih, tapi spreinya keliatan tidak diganti ada kotor walopun sedikit.",add_missing_reason_keep_label,,,"makanan lumayan, kamar bersih, tapi spreinya keliatan tidak diganti ada kotor walopun sedikit."
13266,Makanan,apply_reason_only,negatif,negatif,,"sarapan pagi harus nambah bayar lagi padahal yang sarapan hanya 1 dewasa dan 4 anak dibawah usia 12 tahun, harapannya supaya sarapan anak gratis.",add_missing_reason_keep_label,,,"sarapan pagi harus nambah bayar lagi padahal yang sarapan hanya 1 dewasa dan 4 anak dibawah usia 12 tahun, harapannya supaya sarapan anak gratis."
13469,Makanan,apply_reason_only,positif,positif,,"pelayanan yang ramah, makanannya enak",add_missing_reason_keep_label,,,"pelayanan yang ramah, makanannya enak"
13487,Makanan,apply_reason_only,positif,positif,,sarapan sangat baik dibandingkan dengan harga dan ramah dengan anak-anak di bawah 6,add_missing_reason_keep_label,,,sarapan sangat baik dibandingkan dengan harga dan ramah dengan anak-anak di bawah 6
13659,Makanan,apply_reason_only,negatif,negatif,,pelayanannya sangat ramah namun untuk variasi sarapan perlu ditambahkan lagi,add_missing_reason_keep_label,,,pelayanannya sangat ramah namun untuk variasi sarapan perlu ditambahkan lagi
13728,Makanan,apply_reason_only,positif,positif,,"hotel terfavorit, makanan banyak variasi, staf ramah",add_missing_reason_keep_label,,,"hotel terfavorit, makanan banyak variasi, staf ramah"
13803,Makanan,apply_reason_only,negatif,negatif,,"kamar kurang bersih, sarapan pagi menemukan rambut.",add_missing_reason_keep_label,,,"kamar kurang bersih, sarapan pagi menemukan rambut."
14455,Makanan,apply_reason_only,positif,positif,,baik dengan harga yang ditawarkan juga mendapatkan sarapan pagi yang diantar ke kamar.,add_missing_reason_keep_label,,,baik dengan harga yang ditawarkan juga mendapatkan sarapan pagi yang diantar ke kamar.
14465,Makanan,apply_reason_only,negatif,negatif,,overall memuaskan cuma ada sedikit kekecewaan saat booking dengan harga yang ditawarkan mendapat fasilitas breakfast sepertinya tidak sesuai.,add_missing_reason_keep_label,,,overall memuaskan cuma ada sedikit kekecewaan saat booking dengan harga yang ditawarkan mendapat fasilitas breakfast sepertinya tidak sesuai.
14530,Makanan,apply_reason_only,negatif,negatif,,"makanan tidak enak, harga terlalu tinggi.",add_missing_reason_keep_label,,,"makanan tidak enak, harga terlalu tinggi."
13059,Fasilitas,apply_reason_only,positif,positif,,pelayanan dan fasilitasnya baik banget.,add_missing_reason_keep_label,,,pelayanan dan fasilitasnya baik banget.
13196,Fasilitas,apply_reason_only,positif,positif,,fasilitas dan layanan yang baik,add_missing_reason_keep_label,,,fasilitas dan layanan yang baik
13434,Fasilitas,apply_reason_only,positif,positif,,pelayanannya baik fasilitas hotelnya juga mantab,add_missing_reason_keep_label,,,pelayanannya baik fasilitas hotelnya juga mantab
13455,Fasilitas,apply_reason_only,positif,positif,,fasilitas bagus.,add_missing_reason_keep_label,,,fasilitas bagus. pelayanan baik.
13664,Fasilitas,apply_reason_only,positif,positif,,semua fasilitas mantul pelayanan ramah,add_missing_reason_keep_label,,,semua fasilitas mantul pelayanan ramah
13901,Fasilitas,apply_reason_only,positif,positif,,fasilitas lengkap pelayanan memuaskan.,add_missing_reason_keep_label,,,fasilitas lengkap pelayanan memuaskan.
14364,Fasilitas,apply_reason_only,positif,positif,,pelayanan dan fasilitas cukup memuaskan,add_missing_reason_keep_label,,,pelayanan dan fasilitas cukup memuaskan
