ID_Review,aspect,original_label,v3_label,original_reason,v3_reason,Text_Review
2468,Kenyamanan,none,positif,,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis
2558,Kenyamanan,none,positif,,"hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat.","hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat."
2860,Kenyamanan,netral,positif,kenyamanan tidur sangat memuaskan dengan bed yang sangat nyaman. yang cukup mengganggu adalah suhu air shower yang sangat tidak stabil,kenyamanan tidur sangat memuaskan dengan bed yang sangat nyaman dan 2 bantal yang nyaman di masing masing bed (twin).,"lokasi di mall dengan banyak pilihan restoran bahkan departemen store. air minum yang disediakan lebih banyak dari standar hotel lain, yaitu 4 botol dengan ukuran sedang. kenyamanan tidur sangat memuaskan dengan bed yang sangat nyaman dan 2 bantal yang nyaman di masing masing bed (twin). kondisi kamar sangat bersih dan fasilitas kamar mandi juga lengkap. yang cukup mengganggu adalah suhu air shower yang sangat tidak stabil, panas dingin bergantian. namun yang paling mengecewakan untuk kami adalah fasilitas wi-fi yang amat sangat lambat, bahkan tidak bisa kami gunakan sama sekali."
3585,Kenyamanan,none,positif,,"bagus, bersih, nyaman.","bagus, bersih, nyaman. top pokoknya"
4662,Kenyamanan,none,positif,,fantastis sekali bersih nyaman lah pkkoknya,fantastis sekali bersih nyaman lah pkkoknya
5383,Kenyamanan,none,positif,,"bagus nyaman sopan, dan ramah, tingkatkan lagu","bagus nyaman sopan, dan ramah, tingkatkan lagu"
5422,Kenyamanan,positif,none,rapih,,"bagus, rapih, bersih deket dengan mall"
5467,Kenyamanan,negatif,none,saluran pembuangan shower lambat,,"kami menginap di kamar 616. saluran pembuangan shower lambat meskipun kotoran/rambut sudah dibersihkan oleh staf hotel. lokasi hotel cukup bagus, memiliki akses langsung ke pusat perbelanjaan botany square. dan botanic. "
5488,Kenyamanan,netral,positif,hotel aga tua tapi tetep nyaman. di kamar berisik sekali bunyi mesin,"baik untuk frontliner, service dari team di resto, kamar lega dingin amenities baik, hotel aga tua tapi tetep nyaman overall hanya dari interior design ada mark atau kerusakan sedikit2 saja tapi tidak mempengaruhi kenyamanan.","baik untuk frontliner, service dari team di resto, kamar lega dingin amenities baik, hotel aga tua tapi tetep nyaman overall hanya dari interior design ada mark atau kerusakan sedikit2 saja tapi tidak mempengaruhi kenyamanan. cuma yang sangat kurang adalah saya menginap di kamar 305, kenyamanan saat tidur sangat kurang karena di kamar berisik sekali bunyi mesin gitu entah dari air conditioner atau apa didalam kamar dan membuat tidur tidak nyenyak dan itu terjadi di malam hari. sudah disampaikan ke frontliner tapi tidak ada tanggapan lebih lanjut hanya memastikan ""tapi dingin kan bu"". yaudah itu aja. "
5984,Kenyamanan,none,positif,,"nyaman, lokasi strategis, receptionist nya ramah banget","nyaman, lokasi strategis, receptionist nya ramah banget"
6468,Kenyamanan,positif,none,terpelihara dengan baik,,"old fashioned hotel tapi terpelihara dengan baik. lokasi yang strategis, di samping mal bip dan hanya berjarak ratusan meter ke taman lalu lintas."
6487,Kenyamanan,none,positif,,"lokasi strategis, sangat bersih dan nyaman.","lokasi strategis, sangat bersih dan nyaman. pelayanan ramah dan cepat. breakfast enak dan banyak menunya. saya puas."
7120,Kenyamanan,netral,positif,"ramah, nyaman","ramah, nyaman hanya terlalu bebas untuk smoking: (","ramah, nyaman hanya terlalu bebas untuk smoking: ("
7505,Kenyamanan,none,positif,,"hotelnya sangat bagus, kamarnya sangat memuaskan.","hotelnya sangat bagus, kamarnya sangat memuaskan. apalagi waktu sarapan pagi. menu komplit dan enak-enak banget. pelayanannya juga ramah-ramah dan selalu full senyum maze."
7508,Kenyamanan,none,positif,,"tempatnya strategis, kamar bersih, karyawan staf hotelnya ramah.","tempatnya strategis, kamar bersih, karyawan staf hotelnya ramah. anak anak pengalaman baru ada bioskop film anak anak di sore hari sangat terhibur. liburan yang berkesan."
7633,Kenyamanan,none,positif,,nyaman dan sarapan pagi yang nikmat.,nyaman dan sarapan pagi yang nikmat.
7652,Kenyamanan,none,positif,,"kamar bersih, sarapan baik, dekat dengan mall.","menyenangkan. kamar bersih, sarapan baik, dekat dengan mall."
7854,Kenyamanan,none,positif,,"keesokan harinya saya meminta untuk bersih-bersih, kemudian mereka memberikan perlengkapan mandi yang layak dan kopi sachet.","saat pertama check in perlengkapan mandi tidak ada. bahkan gula pasirnya keras, kami pikir layanan kamar akan datang nanti untuk diisi karena mungkin ini adalah kebijakan hotel. keesokan harinya saya meminta untuk bersih-bersih, kemudian mereka memberikan perlengkapan mandi yang layak dan kopi sachet. tidak ada parkir gratis untuk tamu, tempat parkir terbatas dan mereka menunjukkan mal di dekat taman dan masih tidak ada parkir gratis"
7989,Kenyamanan,none,positif,,"air conditioner dan water heater berfungsi dengan baik, tapi tidak ada hair dryer.","tempat sangat strategis, parkinya mudah, check-in cepat. pelayanan sangat ramah, handuk sprei dan bersih. air conditioner dan water heater berfungsi dengan baik, tapi tidak ada hair dryer."
8022,Kenyamanan,none,positif,,"hari pertama, kedua dan ketiga begitu nyaman.","hari pertama, kedua dan ketiga begitu nyaman. namun, akhirnya kecewa dengan sikap dan tindakan resepsionis pada saat ingin extend, akhirnya saya check-out, kenyamanan sebelumnya di akhiri dengan kekecewaan."
8040,Kenyamanan,none,negatif,,"kamar yang cukup baik untuk tidak kecil, dan varian untuk sarapan sedikit kurang, rasanya cukup.","kamar yang cukup baik untuk tidak kecil, dan varian untuk sarapan sedikit kurang, rasanya cukup. kolam kecil yang tenang tapi stafnya sangat ramah secara keseluruhan hotel ini bagus dan membuat liburan saya hampir sempurna terima kasih santika bogor"
8952,Kenyamanan,none,positif,,"untuk kamar bersih, untuk sarapan the best, banyak pilihan.","menginap satu malam di hotel santika cirebon sangat menyenangkan. untuk kamar bersih, untuk sarapan the best, banyak pilihan."
9298,Kenyamanan,none,positif,,"lokasi strategis, kamar baik, kebersihan baik, pokoknya the best lah","lokasi strategis, kamar baik, kebersihan baik, pokoknya the best lah"
9361,Kenyamanan,none,positif,,"tempatnya cukup strategis, kamar bersih dan rapi.","tempatnya cukup strategis, kamar bersih dan rapi. recommended bagi yang bawa keluarga."
9515,Kenyamanan,none,positif,,"tempat strategis, parkiran luas, kamar bersih.","tempat strategis, parkiran luas, kamar bersih. good"
9696,Kenyamanan,positif,none,saya suka hotel dengan nuansa alami,,saya suka hotel dengan nuansa alami.
10272,Kenyamanan,negatif,none,peralatan sudah kuno,,"bagus, tapi peralatan sudah kuno"
10435,Kenyamanan,none,positif,,"lokasi baik mudah akses ke dmall, tetapi menurut saya kondisi fasilitas hotel (seperti kolam renang, gym) dan kondisi kamar (seperti furniture, luas kamar, dan kebersihan kamar) tidak sesuai dengan harga yang diberikan.","lokasi baik mudah akses ke dmall, tetapi menurut saya kondisi fasilitas hotel (seperti kolam renang, gym) dan kondisi kamar (seperti furniture, luas kamar, dan kebersihan kamar) tidak sesuai dengan harga yang diberikan."
10570,Kenyamanan,positif,none,pemandangan gunung yang indah dari jendela saya,,pemandangan gunung yang indah dari jendela saya. sarapan yang luar biasa. lokasi yang bagus. harga yang pantas
11135,Kenyamanan,positif,none,ruangan yang bersih,,"lokasinya strategis, mudah diakses dengan berbagai alternatif kendaraan dengan staf yang ramah dan ruangan yang bersih."
11468,Kenyamanan,none,positif,,"pelayan baik, kamar baik, makanan baik.","pelayan baik, kamar baik, makanan baik."
11939,Kenyamanan,none,negatif,,cuma view-nya kurang menarik.,"pelayan baik, kebersihan baik banget. cuma view-nya kurang menarik. makanan juga enak kok."
12126,Kenyamanan,positif,none,menyenangkan sesuai kelasnya semua baik banget bersih,,menyenangkan. sesuai kelas nya. semua baik banget. bersih.
12145,Kenyamanan,none,negatif,,cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil.,"puas banget sama pelayanan, kebersihan dan fasilitasnya. cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil. overall baik kok tapi! bakal staycation ke sini lagi next time."
12415,Kenyamanan,netral,positif,air conditioner kurang dingin,"karena sudah cukup malam kami malas komplain dan biarkan saja, syukurlah tambah malam tambah dingin, letak hotel di pusat kota, dekat dengan stasiun, lobby-nya di lantai 5 mega mal giant, pelayanan ramah, security ramah, makanan cukup lah variannya.","hari pertama di hotel ini kesannya cukup enak. kebetulan karena type kamar yang kami pesan habis, kamar kami diupdgrade ke type deluxe. pertama kali masuk kamar memang berasa air conditioner kurang dingin (sesuai ulasan review dari orang-orang). karena sudah cukup malam kami malas komplain dan biarkan saja, syukurlah tambah malam tambah dingin, letak hotel di pusat kota, dekat dengan stasiun, lobby-nya di lantai 5 mega mal giant, pelayanan ramah, security ramah, makanan cukup lah variannya. butuh kebutuhan apa apa tinggal turun ada giant, atm dan lain-lain lengkap. dan akhirnya kita memutuskan extend lagi."
13799,Kenyamanan,positif,positif,,"kamar bersih, kebetulan pesan room untuk hari birthday anak free slice cake.","kamar bersih, kebetulan pesan room untuk hari birthday anak free slice cake. sarapan rasa biasa saja, varian banyak. kamar mandi bersih."
13855,Kenyamanan,positif,positif,,"kamar juga baik, bersih.","lokasi strategis, deket ke beberapa lokasi kuliner jd ongkir gofood/grabfood nya lebih murah. kamar juga baik, bersih."
13940,Kenyamanan,negatif,negatif,,"the room was baik, handuk kurang putih, breakfast just normal and receptionist harusnya bisa lebih banyak kasih info alternatif.","the room was baik, handuk kurang putih, breakfast just normal and receptionist harusnya bisa lebih banyak kasih info alternatif."
14193,Kenyamanan,negatif,negatif,,"pros: lokasi jalan banyak makanan, breakfast baik, kamar roomy dan bersih.","pros: lokasi jalan banyak makanan, breakfast baik, kamar roomy dan bersih. con: koridor lantai 5 kalau malam agak bau."
14199,Kenyamanan,positif,positif,,"makanan lezat, layanan yang baik, kamarnya cukup bersih, dan hotel ini dekat dengan pusat kota.","makanan lezat, layanan yang baik, kamarnya cukup bersih, dan hotel ini dekat dengan pusat kota."
14679,Kenyamanan,positif,none,sangat berkesan untuk tempat istirahat,,"sangat berkesan untuk tempat istirahat, lokasi yang sangat strategis"
14697,Kenyamanan,positif,positif,,"hotel santika tasikmalaya, kami sekeluarga memuaskan, pelayanan kamar, security, makanan, kebersihan dan lokasi dalam kota.","hotel santika tasikmalaya, kami sekeluarga memuaskan, pelayanan kamar, security, makanan, kebersihan dan lokasi dalam kota."
105,Kebersihan,netral,positif,"kebersihan cukup baik, hanya sedikit yang perlu diperhatikan yaitu mengganti seprai tidur yang nampak sudah tua dan ada noda","hotel yang termasuk sudah legendaris ini terletak di pusat kota, mall hanya tinggal melangkah kesebrang, staf yang ramah, kebersihan cukup baik, hanya sedikit yang perlu diperhatikan yaitu mengganti seprai tidur yang nampak sudah tua dan ada noda yang tidak dapat dibersihkan.","hotel yang termasuk sudah legendaris ini terletak di pusat kota, mall hanya tinggal melangkah kesebrang, staf yang ramah, kebersihan cukup baik, hanya sedikit yang perlu diperhatikan yaitu mengganti seprai tidur yang nampak sudah tua dan ada noda yang tidak dapat dibersihkan."
616,Kebersihan,none,positif,,"hotel yang bagus dalam servis, kebersihan dan kenyamanan","hotel yang bagus dalam servis, kebersihan dan kenyamanan"
836,Kebersihan,netral,positif,"kalau meja diluar ruangan sangat kotor, hingga mengingatkan mereka untuk membersihkan","tidak sadar kalau meja diluar ruangan sangat kotor, hingga mengingatkan mereka untuk membersihkan meja dan menjadikannya bersih dan rapi.","lokasi bagus, dalam hal layanan staf, ini bagus dari tim fo dan dilakukan dengan baik. tapi untuk f b service pelayanannya buruk apalagi saat sarapan pagi ini tidak tersenyum dan terkesan tidak ramah. beberapa staf layanan f b tidak mengetahui beberapa item sarapan kosong dan hanya melihat sekeliling sampai saya membawakan item tersebut kepada mereka yang kosong. tidak sadar kalau meja diluar ruangan sangat kotor, hingga mengingatkan mereka untuk membersihkan meja dan menjadikannya bersih dan rapi. ayolah, anda orang yang suka menerima tamu tapi kenapa anda semua hanya melihat sekeliling dan tidak sadar dengan meja kerja anda. mohon manajemen hotel santika meninjau tim layanan f b dan menjadikannya layanan yang tulus. mungkin dalam waktu dekat pelayanan yang lebih baik terutama pada waktu sarapan."
1988,Kebersihan,none,positif,,mereka sepertinya tidak memperhatikan kebersihan kamar dan kehilangan perhatian pada detail.,"ini bukan pertama kalinya saya menginap di hotel ini, dan saya juga telah menginap di beberapa santika. namun, saya harus mengatakan ini adalah saat terburuk yang pernah saya alami di santika cirebon dimana saya menemukan kamar saya penuh dengan nyamuk berdarah dan rambut di lantai. mereka sepertinya tidak memperhatikan kebersihan kamar dan kehilangan perhatian pada detail. lain kali saya mengunjungi cirebon, saya mungkin tidak akan memilih hotel ini lagi karena ada hotel bintang 4 baru (yang luar biasa) lebih murah daripada santika cirebon bintang 3."
2222,Kebersihan,none,positif,,"makan pagi ok, sdh siap dari pagi kamar sblm jam 12 sudah siap mbl dicuci, good suasana dan kebersihan secara keseluruhan baik lingkungan sekitar hotel berisik","makan pagi ok, sdh siap dari pagi kamar sblm jam 12 sudah siap mbl dicuci, good suasana dan kebersihan secara keseluruhan baik lingkungan sekitar hotel berisik"
2429,Kebersihan,none,positif,,"lokasi sangat bagus dekat pusat perbelanjaan, kebersihan luar biasa dengan staf yang ramah, makanan sederhana namun lezat","lokasi sangat bagus dekat pusat perbelanjaan, kebersihan luar biasa dengan staf yang ramah, makanan sederhana namun lezat"
2468,Kebersihan,none,positif,,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis
3979,Kebersihan,netral,negatif,hotel lama toilet sudah direnovasi. sprei dan handuk sudah agak lusuh,"hotel lama toilet sudah direnovasi, breakfast lumayan minusnya sprei dan handuk sudah agak lusuh, sangat kurang colokan listrik.","hotel lama toilet sudah direnovasi, breakfast lumayan minusnya sprei dan handuk sudah agak lusuh, sangat kurang colokan listrik."
4228,Kebersihan,none,positif,,kebersihan terjaga.,kebersihan terjaga. layanan luar biasa.
5041,Kebersihan,none,positif,,"secara keseluruhan baik, tetap tingkatkan pelayanan prima dan kebersihan","secara keseluruhan baik, tetap tingkatkan pelayanan prima dan kebersihan"
5539,Kebersihan,none,positif,,kebersihan terjaga maksimal.,kebersihan terjaga maksimal. kolam renang dengan pemandangan indah. kolam renang dengan pemandangan indah.
5618,Kebersihan,none,negatif,,bau linen sangat menyengat sehingga saya tidak bisa tidur.,pengharum ruangan? bau linen sangat menyengat sehingga saya tidak bisa tidur. ada lubang di handuk.
8861,Kebersihan,none,negatif,,bau kotoran semerbak masuk kamar tidur anak kami.,air conditioner mati dan penghisap udara kamar mandi mati. bayangkan suasana kamarnya dan baunya? bau kotoran semerbak masuk kamar tidur anak kami. tidak ada tindakan apa-apa sesudah kami mengadu ke pihak hotel.
8901,Kebersihan,none,positif,,"lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor.","hotel santika memang pilihan tepat sebagai akomodasi saat melakukan perjalanan dinas. lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor."
8943,Kebersihan,none,negatif,,banyak sekali piring kotor didiamkan.,"staf ramah, cuma kenapa mobil saya aja yang tidak dicuci. resto untuk sarapan crowded dan pelayannya tidak sigap. banyak sekali piring kotor didiamkan."
12145,Kebersihan,none,positif,,"puas banget sama pelayanan, kebersihan dan fasilitasnya.","puas banget sama pelayanan, kebersihan dan fasilitasnya. cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil. overall baik kok tapi! bakal staycation ke sini lagi next time."
12253,Kebersihan,positif,none,kamar bersih kamar mandi bersih,,"kamar berisp, air conditioner dingin, kamar mandi bersi, makanan cukup lengkap dan esak."
13249,Kebersihan,negatif,none,kamar mandinya airnya menggenang,,"tempatnya kurang nyaman, dekat dengan mall tapi mallnya banyak tutup. terus kamar mandinya airnya menggenang."
503,Pelayanan,netral,positif,pelayanan cukup ramah,"hotel lokasi strategis, pelayanan cukup ramah, namun ada beberapa yang menjadi catatan perbaikan: 1.","hotel lokasi strategis, pelayanan cukup ramah, namun ada beberapa yang menjadi catatan perbaikan: 1. kondisi air conditioner panas 2. kebersihan perlu ditingkatkan"
562,Pelayanan,positif,none,mobil di parkiran di cuci dengan gratis,,"hotel dekat dengan pasat perbelanjaan, tempat makan. mobil di parkiran di cuci dengan gratis. variasi makanan harus di tambah."
1650,Pelayanan,none,negatif,,"kami check ini terlambat, dateng jam setengah dua belas malam, tanpa basa-basi dan birokrasi yang panjang, kami langsung dapet kunci kamar.","kami check ini terlambat, dateng jam setengah dua belas malam, tanpa basa-basi dan birokrasi yang panjang, kami langsung dapet kunci kamar. kami pilih kamar dengan bed twin walopun serasa sempit bahkan untuk 1 orang, interior kamar yang minimalis modern enak dipandang dan view gunung dan kota bogor. pagi hari kami sarapan, dengan menu yang beraneka macam dan enak2. sedikit kendala, kami tidak diberi tahu kalau mobil keluar masuk hotel, apakah kami bisa dapet voucher parkir, akhirnya keluar masuk hotel kami bayar parkir lagi selama dua hari, lumayan lah."
1819,Pelayanan,none,positif,,"semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak.","semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak. akses ke hotel cukup mudah dan bukan di jalur macet. dan yang sangat menarik adalah pagi pagi mobil di cuci dari pihak hotel."
1834,Pelayanan,netral,positif,lain seperti pengering rambut dan staf akan mengirimkannya ke kamar anda,"menginap semalam, kamarnya sangat bersih, stafnya cepat tanggap dan sangat ramah.","menginap semalam, kamarnya sangat bersih, stafnya cepat tanggap dan sangat ramah. fasilitasnya lengkap dan anda juga bisa meminta fasilitas lain seperti pengering rambut dan staf akan mengirimkannya ke kamar anda. sarapannya enak tapi tidak ada yang luar biasa tentang sarapan. tampilan hotelnya mungkin agak tua tapi secara keseluruhan sepadan dengan harganya."
1836,Pelayanan,none,positif,,"tempat ini tidak jauh dari segalanya, terima kasih santika, mereka sangat ramah dan membantu dengan lengkap, sampai jumpa lagi","tempat ini tidak jauh dari segalanya, terima kasih santika, mereka sangat ramah dan membantu dengan lengkap, sampai jumpa lagi"
1861,Pelayanan,none,positif,,"menu sarapannya sangat lengkap, bervariasi dan enak, namun keramahannya sangat baik.","santika adalah salah satu hotel terbaik di cirebon, terletak di pusat kota, dekat dengan stasiun kereta, mall, restoran, dll. kolam renangnya mungkin salah satu kolam terbaik yang pernah saya coba di cirebon, sangat bersih dan besar. saya suka ketika saya masuk kamar, stafnya sudah menyiapkan kamar jadi air conditioner sudah menyala jadi kamar sangat sejuk dan nyaman. mereka juga mencuci mobil kami, dan ini diluar ekspektasi. menu sarapannya sangat lengkap, bervariasi dan enak, namun keramahannya sangat baik. satu malam tidak pernah cukup."
2386,Pelayanan,none,positif,,penerimaan sangat ramah.,"tempat bersih, kamar tidak terlalu besar, tapi baik lah. penerimaan sangat ramah. parkir juga luas kolam renang kelihatan dari tempat menginap, dan kelihatannya bersih dan nyaman, sayang kami tidak sempat menikmati kolam renang."
2558,Pelayanan,none,positif,,"hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat.","hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat."
4378,Pelayanan,positif,none,ramaah juga,,keren abiss ramaah juga dan bersih
4989,Pelayanan,none,positif,,"semuanya baik, dari fasilitas dan layanannya juga sangat memuaskan.","semuanya baik, dari fasilitas dan layanannya juga sangat memuaskan."
5119,Pelayanan,negatif,none,"pesan via ota, pilih kamar deluxe single bed dikasih yang twin bed, dan smoking room",,"pesan via ota, pilih kamar deluxe single bed dikasih yang twin bed, dan smoking room. akses susah jika solo travel yang harus melalui lift didalam mall yang kalau malam tutup"
5467,Pelayanan,negatif,none,saluran pembuangan shower lambat meskipun kotoran/rambut sudah dibersihkan oleh staf hotel.,,"kami menginap di kamar 616. saluran pembuangan shower lambat meskipun kotoran/rambut sudah dibersihkan oleh staf hotel. lokasi hotel cukup bagus, memiliki akses langsung ke pusat perbelanjaan botany square. dan botanic. "
5547,Pelayanan,netral,positif,kualitas pelayanan terbaik.,interior ramah keluarga.,interior ramah keluarga. harga sangat terjangkau. kualitas pelayanan terbaik.
5800,Pelayanan,netral,negatif,"pelayan di restoran saat sarapan, kurang ramah | reseptionist dan satpamnya baik banget","ada colokan di samping westafel, tapi sayangnya hairdryernya tidak ada pelayan di restoran saat sarapan, kurang ramah, mukanya pada manyun, masih ngantuk kali yah.","ada colokan di samping westafel, tapi sayangnya hairdryernya tidak ada pelayan di restoran saat sarapan, kurang ramah, mukanya pada manyun, masih ngantuk kali yah. reseptionist dan satpamnya baik banget, kamar bersih, cukup luas. "
6075,Pelayanan,netral,negatif,penerimaan sangat membantu dan sopan. layanan yang buruk (telur setengah matang yang tidak pernah datang),layanan yang buruk.,"penerimaan sangat membantu dan sopan sayangnya cuaca hangat dan tanpa air conditioner di area lobi. ruangan itu bersih tapi keran lama di wastafel dan shower membuatnya sulit untuk dioperasikan. menu sarapan prasmanan memang tidak sebanyak dua tahun lalu. disebutkan secara khusus ke stasiun telur, memesan telur setengah matang yang tidak pernah datang sampai kami selesai. layanan yang buruk."
7120,Pelayanan,none,positif,,"ramah, nyaman hanya terlalu bebas untuk smoking: (","ramah, nyaman hanya terlalu bebas untuk smoking: ("
7131,Pelayanan,netral,positif,"pelayanan bagus, namun pelayanan dari pegawai restoran untuk breakfast kurang tanggap","bermalam di hotel santika bandung, , pegawai nya ramah-ramah, , pelayanan bagus, , bersih banget, , saya menginap bersama anak dan istri saya, , pada saat check-in kamar dengan tempat tidur ukuran king telah terisi semua kamarnya, , namun oleh pihak hotel di usahakan bagaimana caranya agar kami sekeluarga mendapatkan k","bermalam di hotel santika bandung, , pegawai nya ramah-ramah, , pelayanan bagus, , bersih banget, , saya menginap bersama anak dan istri saya, , pada saat check-in kamar dengan tempat tidur ukuran king telah terisi semua kamarnya, , namun oleh pihak hotel di usahakan bagaimana caranya agar kami sekeluarga mendapatkan kamar dengan tempat tidur ukuran king, , mengenai breakfast/sarapan pagi menunya banyak sekali namun sayang pelayanan dari pegawai restoran untuk breakfast/sarapan pagi kurang tanggap dan sigap, , karena setelah kami selesai menyantap makanan alat makan yang telah kami gunakan tidak secepatnya diambil oleh para pegawai serta penyediaan kopi dan teh oleh pelayan tidak cepat. terima kasih traveloka, , harga kamarnya murah banget dari pada harga publish dari pihak hotel."
7506,Pelayanan,none,positif,,hotel dan layanan yang bagus.,hotel dan layanan yang bagus. lokasi agak membingungkan.
8085,Pelayanan,positif,none,santika tau how to treat their customers,,"cemilan di kala sore, santika tau how to treat their customers"
8685,Pelayanan,negatif,none,slow respon jika ada makanan yang mulai habis ruang makan yang diluar lambat dibersihkan,,"makanan kurang lezat, slow respon jika ada makanan yang mulai habis, ruang makan yang diluar lambt dibersihkan"
9497,Pelayanan,none,positif,,"bagus ruangan, layanan besar, bagus, besar dan bersih kolam renang.","bagus ruangan, layanan besar, bagus, besar dan bersih kolam renang. kami berenang di malam hari dan itu bagus"
