aspect,error_type,confidence,ID_Review,Platform,Nama_Hotel,Review_Date,review_word_len,Text_Review,true_label_source,pred_label_source,alasan_aspect
Lokasi,positif -> none,0.6676,7823,Traveloka,Hotel Santika Bogor,12/30/2020,164,"review dikit menginap disana. pegawai ramah semua. check-in dan check-out cepat. kamar sama kaya di gambar. minta request jendela dengan view dikasih. complimentary kamar free. air conditioner dingin. water heater dan exhaush fan baik. malam hari saya minta tolong pihak dapur untuk hangat makanan dilayani dengan baik dan cepat, sedikit saran, tempat sampah dikamar dan dikamar mandi kalau bisa bukanya yang di tekan pake kaki, gang yang tutupnya bisa di copot gt soalnya jadi dimaenin anak yang belum paham kalau itu tempat sampah. terus untuk kamar mandinya tidak ada sabun cair untuk cuci tangan, dikasihnya malah yang batang. agak repot ya. ini hotelnya tempel banget sama botani, karena covid, bayi gabisa masuk sana. tapi nyari makan banyak, bisa gojek dan enak-enak ko. parkiran juga gabung sama mal. buat yang menginap disana jangan lupa tiket parkirnya distempel sama pihak hotel biar free. untuk breakfast kurang variatif menunya, apalagi untuk rotinya, dikit banget. tidak ada roti tawar dan selai. overall baik ko. 8/10. terima kasih ya.",positif,none,hotelnya tempel banget sama botani
Lokasi,netral -> positif,0.6659,1167,Agoda,Hotel Santika Bogor,8/1/2012,41,"saya tidak menikmati masa tinggal saya sama sekali. karena berisik saat anda tidur, anda bisa mendengar langkah orang berjalan dari luar dan suaranya sangat keras. tapi bagus untuk lokasi. yang pasti saya tidak akan kembali untuk tinggal di sana. : )",netral,positif,tapi bagus untuk lokasi.
Lokasi,positif -> none,0.6646,7774,Traveloka,Hotel Santika Bogor,6/2/2021,110,"over price tapi boleh lah. range harga 600 - 700 ribuan dengan desain kamar dan peralatan kamar yang (maaf) tidak melebihi hotel dengan range harga 300 - 400 ribuan. plus (+): - fo dan security yang humble, komunikatif dan rensponsif. - masih dalam lingkup mall botani dan pool damri. - ada kolam renang. - kamar nya cukup redam suara dan bersih. minus (-): - over price. - access card cuma di kasih 1 buah (alasan karena stock access card terbatas)- air conditioner kamar berbunyi seperti korslet, seperti nya harus di service. - harga segitu, tidak ada hair dryer. - menu sarapan monoton, 4 hari menginap, sarapan dengan menu yang sama.",positif,none,masih dalam lingkup mall botani dan pool damri
Lokasi,none -> positif,0.6458,1308,Agoda,Hotel Santika Bogor,6/30/2024,51,"hotel yang pas untuk staycation keluarga karena ada connecting langsung ke botani square, jadi sekalian nginep bisa juga nge-game, jajan2 n nge-mall. cocok banget kalau bawa anak kecil. cuma kolam renang aja agak kecil. utk menu sarapan kurang variatif, tapi rasanya enak. pelayanan staf baik n ramah. great place to staycation",none,positif,
Lokasi,negatif -> positif,0.6423,2341,Agoda,Hotel Santika Cirebon,1/2/2013,43,"kami datang untuk berlibur ke kota cirebon, hotel ini cocok sebagai hotel resort di tengah kota, kamar luas, fasilitas baik breakfastnya sangat beragam terutama adanya makanan khas cirebon ( nasi lengko, empal gentong, nasi jamblang, dll. ) lokasi tidak jauh dari grage mall.",negatif,positif,) lokasi tidak jauh dari grage mall.
Lokasi,netral -> positif,0.6389,897,Agoda,Hotel Santika Bogor,12/4/2023,24,terima kasih hotel santika atas keramahtamahannya. anda berhasil mengakomodasi permintaan kami selama kami tinggal. lokasi terbaik dan harga terbaik di bogor. terima kasih lagi.,netral,positif,lokasi terbaik dan harga terbaik di bogor.
Lokasi,none -> positif,0.629,1978,Agoda,Hotel Santika Cirebon,9/3/2014,36,"perjalanan yang menyenangkan. anak saya merasa nyaman. kolam renang yang bagus dan tidak terlalu banyak orang di sana. hotel ini terletak di tengah kota, sangat mudah untuk mendapatkan kedai kopi, restoran, dan mini market di dekatnya.",none,positif,
Lokasi,none -> positif,0.6225,4534,Tiket,Hotel Santika Mega City Bekasi,4/21/2024,6,"full fasilitas family, akses fasilitas gampang",none,positif,
Lokasi,negatif -> none,0.6216,5412,Tiket,Hotel Santika Bogor,9/17/2021,5,tempat parkir jauh dari hotel,negatif,none,tempat parkir jauh dari hotel
Lokasi,positif -> netral,0.6054,8347,Traveloka,Hotel Santika Bogor,11/22/2017,31,"tempat tidur dan 4 bantal nyaman. menu sarapan banyak pilihan, soal rasa masih kurang berani bumbu. tenang, anda tak akan kelaparan karena lokasi bersebelahan dengan boteni square mall, jadi bisa kuliner",positif,netral,lokasi bersebelahan dengan boteni square mall jadi bisa kuliner
Lokasi,positif -> netral,0.602,9206,Traveloka,Hotel Santika Cirebon,1/1/2020,23,"staf-nya ramah serta membantu, sarapan banyak variannya, air kolam renang hangat, spacious room dan bersih, lokasi dijantung kota cirebon. recommended hotel untuk keluarga!",positif,netral,lokasi dijantung kota cirebon
Lokasi,positif -> none,0.5848,373,Agoda,Hotel Santika Bandung,12/15/2012,13,di daerah yang bagus. dilengkapi dengan baik dengan spa di kamar yang terjangkau.,positif,none,di daerah yang bagus
Lokasi,none -> positif,0.5808,1109,Agoda,Hotel Santika Bogor,11/20/2013,40,"pengalaman menginapnya menyenangkan. putri saya berenang selama 3 jam di pagi hari dan tidak berhenti. dengan mudah pergi ke mal tepat di sebelahnya saat diperlukan. sarapan yang enak. stasiun antar-jemput bus ke bandara terletak di sebelahnya, berangkat setiap 15 menit.",none,positif,
Lokasi,positif -> negatif,0.5777,4844,Tiket,Hotel Santika Mega City Bekasi,2/8/2024,22,"lobbynya di lantai 5 terkoneksi mall. overall baik, but showernya fix, so jika nginep bareng keluarga dengan anak kecil, agak kurang pas.",positif,negatif,lobbynya di lantai 5 terkoneksi mall.
Lokasi,none -> positif,0.5701,1008,Agoda,Hotel Santika Bogor,3/13/2017,36,"hotel ini terletak di belakang botani square, jadi hanya berjalan kaki dari giant, berbagai restoran dan yang terpenting sangat dekat dengan kebun raya bogor. stafnya ramah dan sarapannya enak dengan banyak pilihan makanan indonesia atau barat.",none,positif,
Lokasi,netral -> positif,0.5676,838,Agoda,Hotel Santika Bogor,7/29/2024,10,"lokasi dekat dengan mall shg mudah untuk cari makanan, ,",netral,positif,"lokasi dekat dengan mall shg mudah untuk cari makanan, ,"
Kenyamanan,negatif -> netral,0.994,5467,Tiket,Hotel Santika Bogor,4/1/2018,30,"kami menginap di kamar 616. saluran pembuangan shower lambat meskipun kotoran/rambut sudah dibersihkan oleh staf hotel. lokasi hotel cukup bagus, memiliki akses langsung ke pusat perbelanjaan botany square. dan botanic. ",negatif,netral,saluran pembuangan shower lambat
Kenyamanan,negatif -> netral,0.9922,9320,Traveloka,Hotel Santika Cirebon,8/29/2018,110,"kamarnya bagus tapi agak gelap terutama di malam hari. meskipun hotel ini adalah hotel tua, tetapi mereka melakukan yang bagus untuk kamar, sangat bagus dan bersih. handuk bersih dan segar. tapi sayangnya kamar mandi membuat kamar mandi agak basah di sisi yang kering (sisi lemari) dan juga drainase wastafel agak lambat sehingga saluran pembuangan tidak cepat. dan juga saya kecewa karena sarapan, terakhir kali saya mengunjungi hotel ini tahun lalu dan makan sarapan, saya punya pengalaman hebat, karena makanannya begitu enak, tapi ketika saya mengunjungi restoran untuk sarapan saya, berbagai makanannya tidak banyak, dan rasanya di bawah harapan saya, terlalu buruk. tapi ada shuttle ke stasiun cirebon, dan itu gratis.",negatif,netral,kamar mandi membuat kamar mandi agak basah di sisi yang kering dan drainase wastafel agak lambat
Kenyamanan,netral -> negatif,0.974,1200,Agoda,Hotel Santika Bogor,1/9/2012,62,"santika bogor bagus, kamarnya terlalu polos, tidak ada lukisan, tvnya terlalu kecil, aku tidak mendapat pemandangan dari kamarku, menurutku itu kamar yang terisolasi. sarapannya baik, orangnya baik tapi terlalu ramai jadi ketika saya minta piring, mereka memberi saya piring kotor dengan saus di dasar piring. tempat parkir sangat ramai, tidak ada ruang untuk tamu karena ini adalah tempat yang sama untuk mal.",netral,negatif,"terlalu kecil, aku tidak mendapat pemandangan dari kamarku, menurutku itu kamar yang"
Kenyamanan,netral -> negatif,0.9675,2080,Agoda,Hotel Santika Cirebon,12/30/2022,59,"hotel tua yang menempati lahan luas dan lokasi yang strategis. seharusnya bisa mempertahankan ""keklasikan"" hotel santika yang sudah terkenal. sayangnya tidak bisa menjaga itu. sarapan alakadarnya, lokasi seputar kolam tidak terawat, air conditioner tidak dingin, kamar mandi bau, kunci hotel sudah jadul, balkoni depan jendela kotor banget, area deket lift d lobi gelap, terkesan kotor. semoga segera diperbaiki ya",netral,negatif,hotel tua yang menempati lahan luas dan lokasi yang strategis.
Kenyamanan,netral -> negatif,0.9673,4172,Tiket,Hotel Santika Bandung,4/25/2023,15,burik kata anak saya. proses cek ini sangat lama. kamar mandi bau. lift membuat pusing.,netral,negatif,kamar mandi bau.
Kenyamanan,none -> negatif,0.9461,12145,Traveloka,Hotel Santika Mega City Bekasi,6/2/2021,33,"puas banget sama pelayanan, kebersihan dan fasilitasnya. cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil. overall baik kok tapi! bakal staycation ke sini lagi next time.",none,negatif,
Kenyamanan,none -> positif,0.9194,1184,Agoda,Hotel Santika Bogor,3/14/2012,24,ruangan itu bersih dan nyaman. kualitas makannya tidak bagus untuk makan malam tapi cukup bagus untuk sarapan. layanan binatu buruk - setrika perlu ditingkatkan.,none,positif,
Kenyamanan,none -> negatif,0.9178,750,Agoda,Hotel Santika Bogor,6/12/2025,97,"perdana stay, pasca drop off di lobby, effortnya susah cari parkir, untungnya ada akses dari dalam mall ke dalam hotel. request connecting room, hanya dapat 1 aksesdoor masing², jadi repot kalau mau naik lantai izin staf bantu tap lift. minus hairdryer aja, dan tidak ada dispenser air, exhaust fan kamarmandi tidak terasa sirkulasinya, bantal kempes, cahaya kurang terang. plusnya ada hiburan smarttv dan wi-fi superngebut. breakfastnya b aja, wafflenya rasa adonan pukis, dan roti tawar terlihat kurang fresh, tapi westernfoodnya lumayan enak. pelayanan staf fo kurang senyum, dan jangan lupa bawa struk parkir untuk stamp free parking.",none,negatif,
Kenyamanan,none -> positif,0.9176,1385,Agoda,Hotel Santika Bogor,4/12/2024,19,"hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu",none,positif,
Kenyamanan,none -> negatif,0.9153,3979,Tiket,Hotel Santika Bandung,2/21/2024,18,"hotel lama toilet sudah direnovasi, breakfast lumayan minusnya sprei dan handuk sudah agak lusuh, sangat kurang colokan listrik.",none,negatif,
Kenyamanan,none -> positif,0.9128,7505,Traveloka,Hotel Santika Bogor,11/29/2023,23,"hotelnya sangat bagus, kamarnya sangat memuaskan. apalagi waktu sarapan pagi. menu komplit dan enak-enak banget. pelayanannya juga ramah-ramah dan selalu full senyum maze.",none,positif,
Kenyamanan,none -> positif,0.8907,1136,Agoda,Hotel Santika Bogor,2/16/2013,46,"karena hujan selalu turun di sore hari, kami dapat, di waktu senggang, berbelanja atau makan malam tanpa basah kuyup atau harus mencari taksi dengan panik. sarapannya memuaskan. ruangan itu baik-baik saja hanya saja transmisi televisi sering terputus dan beberapa saluran meskipun ditunjukkan dalam daftar tidak ada",none,positif,
Kenyamanan,none -> negatif,0.8835,11939,Traveloka,Hotel Santika Mega City Bekasi,5/15/2024,13,"pelayan baik, kebersihan baik banget. cuma view-nya kurang menarik. makanan juga enak kok.",none,negatif,
Kenyamanan,none -> positif,0.8761,7633,Traveloka,Hotel Santika Bogor,8/24/2022,6,nyaman dan sarapan pagi yang nikmat.,none,positif,
Kenyamanan,netral -> negatif,0.8742,12415,Traveloka,Hotel Santika Mega City Bekasi,7/10/2019,93,"hari pertama di hotel ini kesannya cukup enak. kebetulan karena type kamar yang kami pesan habis, kamar kami diupdgrade ke type deluxe. pertama kali masuk kamar memang berasa air conditioner kurang dingin (sesuai ulasan review dari orang-orang). karena sudah cukup malam kami malas komplain dan biarkan saja, syukurlah tambah malam tambah dingin, letak hotel di pusat kota, dekat dengan stasiun, lobby-nya di lantai 5 mega mal giant, pelayanan ramah, security ramah, makanan cukup lah variannya. butuh kebutuhan apa apa tinggal turun ada giant, atm dan lain-lain lengkap. dan akhirnya kita memutuskan extend lagi.",netral,negatif,air conditioner kurang dingin
Kenyamanan,none -> positif,0.8736,2293,Agoda,Hotel Santika Cirebon,10/19/2014,13,"cek in dan cek out cepat dan mudah, kamar pun luas dan bersih",none,positif,
Kenyamanan,netral -> negatif,0.869,5488,Tiket,Hotel Santika Cirebon,11/20/2025,95,"baik untuk frontliner, service dari team di resto, kamar lega dingin amenities baik, hotel aga tua tapi tetep nyaman overall hanya dari interior design ada mark atau kerusakan sedikit2 saja tapi tidak mempengaruhi kenyamanan. cuma yang sangat kurang adalah saya menginap di kamar 305, kenyamanan saat tidur sangat kurang karena di kamar berisik sekali bunyi mesin gitu entah dari air conditioner atau apa didalam kamar dan membuat tidur tidak nyenyak dan itu terjadi di malam hari. sudah disampaikan ke frontliner tapi tidak ada tanggapan lebih lanjut hanya memastikan ""tapi dingin kan bu"". yaudah itu aja. ",netral,negatif,hotel aga tua tapi tetep nyaman. di kamar berisik sekali bunyi mesin
Kenyamanan,positif -> none,0.8674,10146,Traveloka,Hotel Santika Depok,5/17/2023,60,"kamarnya bersih, kamar mandinya juga bersih. sepertinya hotelnya sudah agak lama, tapi tetap affordable. pilihan sarapannya cukup banyak. overall, menyenangkan. saya tidak tau kalau ternyata hotel ini nyambung dengan di mall. ini jadi point plus, karena jadi ada banyak pilihan resto, dan ada bioskop juga. waktu saya menginap, lagi banyak tamu. sepertinya, sedang ada meeting dari instansi atau perusahaan tertentu.",positif,none,menyenangkan
Kenyamanan,none -> positif,0.8644,5984,Traveloka,Hotel Santika Bandung,2/12/2025,7,"nyaman, lokasi strategis, receptionist nya ramah banget",none,positif,
Kenyamanan,none -> positif,0.8586,3634,Tiket,Hotel Santika Bandung,2/25/2025,6,kamar segar banget. hidangan tradisional lezat.,none,positif,
Kenyamanan,netral -> none,0.8577,5122,Tiket,Hotel Santika Mega City Bekasi,6/9/2024,24,"kebersihan agak kurang, karena terlihat di kamar mandi banyak bekas rambut, di bantal ada noda bekas lipstik. untuk pelayanan cukup baik. lokasi cukup strategis.",netral,none,"agak kurang, karena terlihat di kamar mandi banyak bekas rambut, di bantal ada noda"
Kenyamanan,positif -> netral,0.8558,11517,Traveloka,Hotel Santika Depok,1/6/2016,104,"saya menginap di kamar superior king bed. kamar mandi tidak ada tirainya. padahal kami menginap 1 hari sbelumnya ada tirai pembatas shower di kamar superior dengan twin bed. posisi loby dilantai 3 dengan akses masuk lift dari bagian belakang d'mall. view nya sangat indah karena posisi kamar hotel di lantai paling atas (26-28). staf ramah, ruangan no smoking terjaga, breakfast cukup enak, hanya saja tidak ada staf yang menjaga dibagian pool nya (lantai5). poll cenderung kecil tapi cukup nyaman dengan toilet bersih dan cenderung sepi. penawaran upgrade room on the spot sebesar 100rb untuk deluxe room. so far cukup nyaman menginap di santika depok.",positif,netral,cukup nyaman menginap di santika depok
Kenyamanan,none -> positif,0.8524,9515,Traveloka,Hotel Santika Cirebon,6/21/2017,7,"tempat strategis, parkiran luas, kamar bersih. good",none,positif,
Kenyamanan,netral -> negatif,0.8468,7120,Traveloka,Hotel Santika Bandung,8/19/2015,8,"ramah, nyaman hanya terlalu bebas untuk smoking: (",netral,negatif,"ramah, nyaman"
Kenyamanan,none -> netral,0.8444,7854,Traveloka,Hotel Santika Bogor,10/14/2020,65,"saat pertama check in perlengkapan mandi tidak ada. bahkan gula pasirnya keras, kami pikir layanan kamar akan datang nanti untuk diisi karena mungkin ini adalah kebijakan hotel. keesokan harinya saya meminta untuk bersih-bersih, kemudian mereka memberikan perlengkapan mandi yang layak dan kopi sachet. tidak ada parkir gratis untuk tamu, tempat parkir terbatas dan mereka menunjukkan mal di dekat taman dan masih tidak ada parkir gratis",none,netral,
Kenyamanan,none -> positif,0.8439,9361,Traveloka,Hotel Santika Cirebon,5/16/2018,12,"tempatnya cukup strategis, kamar bersih dan rapi. recommended bagi yang bawa keluarga.",none,positif,
Kenyamanan,none -> negatif,0.8377,1441,Agoda,Hotel Santika Bogor,7/13/2022,43,"secara umum hotel ini recomended. tempat strategis. bersih. staf ramah. breakfast baik. layak diberikan bintang 5. hanya saja pengalaman menginap hari ke-2, lantai toilet area kering nya banjir. sepertinya ada pipa yang bocor. jadinya untuk kali ini saya berikan bintang 4 dulu, ya.",none,negatif,
Kenyamanan,none -> negatif,0.8359,14064,Traveloka,Hotel Santika Tasikmalaya,2/6/2019,9,hotel tidak ada karpet dan air panas kurang panas.,none,negatif,
Kenyamanan,none -> positif,0.8354,2311,Agoda,Hotel Santika Cirebon,10/28/2013,14,"kamar yang sangat nyaman, staf yang sangat raman, dan makanan yang lezat untuk dinikmati",none,positif,
Kenyamanan,none -> positif,0.8347,6487,Traveloka,Hotel Santika Bandung,12/6/2017,17,"lokasi strategis, sangat bersih dan nyaman. pelayanan ramah dan cepat. breakfast enak dan banyak menunya. saya puas.",none,positif,
Kenyamanan,positif -> none,0.8325,5422,Tiket,Hotel Santika Bogor,4/29/2021,6,"bagus, rapih, bersih deket dengan mall",positif,none,rapih
Kenyamanan,positif -> negatif,0.8313,10647,Traveloka,Hotel Santika Depok,10/31/2018,58,"hotel cukup strategis karena satu kawasan dengan mal, turun lift jalan dikit langsung masuk mall depok, fasilitas kamar cukup baik, view lumayan dari lantai 26 hahaha tetapi ukuran kamar agak sempit agak untuk sholat pas-pasan, air mineral banyak, variasi makanan banyak, rasa lumayan enak, parkir lumayan mahal untuk satu hari check in kemudian check out biaya parkir 40rb.",positif,negatif,fasilitas kamar cukup baik view lumayan dari lantai 26
Kenyamanan,none -> positif,0.8267,2558,Agoda,Hotel Santika Depok,11/13/2020,18,"hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat.",none,positif,
Kenyamanan,none -> positif,0.8227,14587,Traveloka,Hotel Santika Tasikmalaya,3/30/2016,20,"ruangan itu bersih dan para staf yang bagus juga. hanya sarapan tidak begitu lezat tapi secara keseluruhan, kami tinggal menyenangkan.",none,positif,
Kenyamanan,none -> positif,0.8227,2468,Agoda,Hotel Santika Depok,3/29/2026,8,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis,none,positif,
Kenyamanan,positif -> none,0.8152,11135,Traveloka,Hotel Santika Depok,1/18/2017,16,"lokasinya strategis, mudah diakses dengan berbagai alternatif kendaraan dengan staf yang ramah dan ruangan yang bersih.",positif,none,ruangan yang bersih
Kenyamanan,positif -> none,0.8141,13185,Traveloka,Hotel Santika Mega City Bekasi,9/27/2017,22,ketika check in oke. smooth tidak ada masalah. kamarnya juga bagus bersih tapi pas check out officernya kurang bersahabat terutama yang perempuan.,positif,none,kamarnya juga bagus
Kenyamanan,negatif -> none,0.8137,11552,Traveloka,Hotel Santika Depok,12/9/2015,13,"very bagus, easy, tapi kalau ada yang bula pintu dari kamar lain kedenegeran",negatif,none,kalau ada yang buka pintu dari kamar lain kedengeran
Kenyamanan,none -> positif,0.8125,7915,Traveloka,Hotel Santika Bogor,2/19/2020,22,"lokasi sangat strategis dengan botani square, dekat dengan tol dan pusat kota. design kamar yang segar serta sarapan pagi cukup menggugah selera.",none,positif,
Kenyamanan,none -> positif,0.8123,7652,Traveloka,Hotel Santika Bogor,6/15/2022,8,"menyenangkan. kamar bersih, sarapan baik, dekat dengan mall.",none,positif,
Pelayanan,none -> negatif,0.974,7465,Traveloka,Hotel Santika Bogor,5/1/2024,61,"kurang sepadan dengan harga yang membayar. fasilitas kamar kurang sesuai. beli paket yang sarapan (saya kesiangan call jam 10 infonya sudah close) tapi tidak ada pengingat. tidak menyalahkan juga karna kesalahan dari saya, tapi setidaknya dari pihak hotel terima kasih telah memperbaiki apa pun. kalau ditanya akan menginap disini lagi, saya tidak akan balik kesini, lebih baik cari pilihan lain aja.",none,negatif,
Pelayanan,none -> negatif,0.9546,12002,Traveloka,Hotel Santika Mega City Bekasi,5/10/2023,26,"pesen dengan bawa anak 1, sampai di lokasi dikasih room smoking, terpaksa saya upgrade karena katanya tidak ada kamar lagi, air panas nya tidak begitu berfungsi.",none,negatif,
Pelayanan,none -> positif,0.9264,1836,Agoda,Hotel Santika Cirebon,1/25/2024,19,"tempat ini tidak jauh dari segalanya, terima kasih santika, mereka sangat ramah dan membantu dengan lengkap, sampai jumpa lagi",none,positif,
