source,issue,aspect,ID_Review,current_label,model_prediction,model_confidence,suggested_label,recommended_action,aspect_evidence,sentiment_evidence,Platform,Nama_Hotel,Review_Date,Text_Review,current_reason,action_rank
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,1064,none,negatif,0.9412,negatif,likely_missing_label,lift,"aspect evidence: lift; mixed/weak sentiment: positive: baik, pas; negative: tidak",Agoda,Hotel Santika Bogor,11/5/2014,satu malam menginap layanan grup tidak baik! harus menyelesaikannya sebelum kedatangan kamar jika belum siap. kapasitas liftnya tidak baik,,1
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,8943,none,negatif,0.9405,negatif,likely_missing_label,kotor,"aspect evidence: kotor; mixed/weak sentiment: positive: ramah; negative: tidak, kotor",Traveloka,Hotel Santika Cirebon,7/31/2024,"staf ramah, cuma kenapa mobil saya aja yang tidak dicuci. resto untuk sarapan crowded dan pelayannya tidak sigap. banyak sekali piring kotor didiamkan.",,1
priority_model_disagreement,model_high_confidence_disagreement,Harga,9551,none,positif,0.9335,positif,likely_missing_label,murah,"aspect evidence: murah; mixed/weak sentiment: positive: ramah, nyaman, aman; negative: ga , kecil",Traveloka,Hotel Santika Cirebon,5/17/2017,"liburan bareng keluarga kecil, pelayanan ramah, makanan kecil murah dan bisa makan di kolam renang juga, kamar nyaman.",,1
priority_model_disagreement,model_high_confidence_disagreement,Pelayanan,1836,none,positif,0.9264,positif,likely_missing_label,"ramah, membantu","aspect evidence: ramah, membantu; mixed/weak sentiment: positive: ramah, lengkap; negative: tidak",Agoda,Hotel Santika Cirebon,1/25/2024,"tempat ini tidak jauh dari segalanya, terima kasih santika, mereka sangat ramah dan membantu dengan lengkap, sampai jumpa lagi",,1
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,13606,none,negatif,0.9236,negatif,likely_missing_label,air,aspect evidence: air; sentiment evidence: kurang,Traveloka,Hotel Santika Mega City Bekasi,10/26/2016,"air conditioner kamar kurang dingin di 620, saya pesan kamar deluxe! tapi itu deluxe atau superior ya?",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,1184,none,positif,0.9194,positif,likely_missing_label,nyaman,"aspect evidence: nyaman; mixed/weak sentiment: positive: bagus, nyaman, bersih; negative: tidak, buruk",Agoda,Hotel Santika Bogor,3/14/2012,ruangan itu bersih dan nyaman. kualitas makannya tidak bagus untuk makan malam tapi cukup bagus untuk sarapan. layanan binatu buruk - setrika perlu ditingkatkan.,,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,750,none,negatif,0.9178,negatif,likely_missing_label,"kamar, room","aspect evidence: kamar, room; mixed/weak sentiment: positive: enak, terang, pas; negative: kurang, tidak, susah",Agoda,Hotel Santika Bogor,6/12/2025,"perdana stay, pasca drop off di lobby, effortnya susah cari parkir, untungnya ada akses dari dalam mall ke dalam hotel. request connecting room, hanya dapat 1 aksesdoor masing², jadi repot kalau mau naik lantai izin staf bantu tap lift. minus hairdryer aja, dan tidak ada dispenser air, exhaust fan kamarmandi tidak terasa sirkulasinya, bantal kempes, cahaya kurang terang. plusnya ada hiburan smarttv dan wi-fi superngebut. breakfastnya b aja, wafflenya rasa adonan pukis, dan roti tawar terlihat kurang fresh, tapi westernfoodnya lumayan enak. pelayanan staf fo kurang senyum, dan jangan lupa bawa struk parkir untuk stamp free parking.",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,1385,none,positif,0.9176,positif,likely_missing_label,nyaman,"aspect evidence: nyaman; mixed/weak sentiment: positive: baik, nyaman, bersih; negative: kurang",Agoda,Hotel Santika Bogor,4/12/2024,"hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu",,1
priority_model_disagreement,model_high_confidence_disagreement,Makanan,838,none,netral,0.9175,positif,likely_missing_label,"makanan, makan","aspect evidence: makanan, makan; sentiment evidence: mudah, dekat",Agoda,Hotel Santika Bogor,7/29/2024,"lokasi dekat dengan mall shg mudah untuk cari makanan, ,",,1
priority_model_disagreement,model_high_confidence_disagreement,Makanan,2212,none,positif,0.9173,positif,likely_missing_label,"breakfast, enak","aspect evidence: breakfast, enak; mixed/weak sentiment: positive: bagus, baik, enak; negative: tidak, ga , mahal",Agoda,Hotel Santika Cirebon,6/17/2019,salah satu hotel yang biasa saya pesan apabila ke cirebon. harga tidak terlalu mahal. lokasi juga bagus. pelayanan staffnya bagus. breakfastnya banyak dan enak. kolam renangnya baik.,,1
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,8936,none,positif,0.9151,positif,likely_missing_label,fasilitas,"aspect evidence: fasilitas; sentiment evidence: ramah, recommended",Traveloka,Hotel Santika Cirebon,10/2/2024,staf sangat ramah dan membantu. fasilitas untuk kursi roda tersedia. recommended.,,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,7505,none,positif,0.9128,positif,likely_missing_label,kamar,"aspect evidence: kamar; mixed/weak sentiment: positive: bagus, ramah, enak; negative: ga ",Traveloka,Hotel Santika Bogor,11/29/2023,"hotelnya sangat bagus, kamarnya sangat memuaskan. apalagi waktu sarapan pagi. menu komplit dan enak-enak banget. pelayanannya juga ramah-ramah dan selalu full senyum maze.",,1
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,7823,none,negatif,0.9115,negatif,likely_missing_label,"parkir, water heater, kamar mandi, air","aspect evidence: parkir, water heater, kamar mandi, air; mixed/weak sentiment: positive: baik, ramah, enak; negative: kurang, tidak, gak",Traveloka,Hotel Santika Bogor,12/30/2020,"review dikit menginap disana. pegawai ramah semua. check-in dan check-out cepat. kamar sama kaya di gambar. minta request jendela dengan view dikasih. complimentary kamar free. air conditioner dingin. water heater dan exhaush fan baik. malam hari saya minta tolong pihak dapur untuk hangat makanan dilayani dengan baik dan cepat, sedikit saran, tempat sampah dikamar dan dikamar mandi kalau bisa bukanya yang di tekan pake kaki, gang yang tutupnya bisa di copot gt soalnya jadi dimaenin anak yang belum paham kalau itu tempat sampah. terus untuk kamar mandinya tidak ada sabun cair untuk cuci tangan, dikasihnya malah yang batang. agak repot ya. ini hotelnya tempel banget sama botani, karena covid, bayi gabisa masuk sana. tapi nyari makan banyak, bisa gojek dan enak-enak ko. parkiran juga gabung sama mal. buat yang menginap disana jangan lupa tiket parkirnya distempel sama pihak hotel biar free. untuk breakfast kurang variatif menunya, apalagi untuk rotinya, dikit banget. tidak ada roti tawar dan selai. overall baik ko. 8/10. terima kasih ya.",,1
priority_model_disagreement,model_high_confidence_disagreement,Makanan,1263,none,positif,0.9014,positif,likely_missing_label,"sarapan, rasa, enak","aspect evidence: sarapan, rasa, enak; mixed/weak sentiment: positive: enak, luas; negative: ga ",Agoda,Hotel Santika Bogor,9/25/2012,"pilihan sarapannya beragam, dari western hingga indonesia, dan saya pesan telur dadar dan rasanya enak. ini setara dengan hotel bintang 4. lokasinya berada dalam jarak berjalan kaki ke kolam renang, pusat perbelanjaan, dan kebun raya. ruangannya luas dan saya bisa bersantai.",,1
priority_model_disagreement,model_high_confidence_disagreement,Harga,10193,none,negatif,0.8998,negatif,likely_missing_label,harga,"aspect evidence: harga; sentiment evidence: kurang, tidak, kecil, susah, tidak sesuai",Traveloka,Hotel Santika Depok,6/1/2022,"akses masuk susah nyarinya pake map, parkiran kecil, palayanan kurang, fasilitas kamar tidak sesuai dengan harga, kamar ada kecoak.",,1
priority_model_disagreement,model_high_confidence_disagreement,Pelayanan,9497,none,positif,0.8997,positif,likely_missing_label,layanan,"aspect evidence: layanan; sentiment evidence: bagus, bersih",Traveloka,Hotel Santika Cirebon,7/26/2017,"bagus ruangan, layanan besar, bagus, besar dan bersih kolam renang. kami berenang di malam hari dan itu bagus",,1
priority_model_disagreement,model_high_confidence_disagreement,Makanan,11601,none,positif,0.8972,positif,likely_missing_label,sarapan,"aspect evidence: sarapan; mixed/weak sentiment: positive: bagus, nyaman, aman; negative: tidak, tidak bisa",Traveloka,Hotel Santika Depok,10/14/2015,hotel ini cukup bagus. dan itu terletak di sebelah mal. sarapan sangat nyaman. salah satu downside adalah wi-fi yang connectionyou tidak bisa streaming youtube di sana.,,1
priority_model_disagreement,model_high_confidence_disagreement,Harga,629,none,positif,0.8968,positif,likely_missing_label,rate,"aspect evidence: rate; sentiment evidence: strategis, enak, puas",Agoda,Hotel Santika Bandung,4/30/2013,"saya puas dengan memilih hotel santika ini, lokasi yang strategis, room service dengan valuable price, makanannya enak.",,1
priority_model_disagreement,model_high_confidence_disagreement,Pelayanan,1819,none,positif,0.8962,positif,likely_missing_label,ramah,"aspect evidence: ramah; sentiment evidence: ramah, nyaman, bersih, enak, mudah",Agoda,Hotel Santika Cirebon,5/12/2024,"semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak. akses ke hotel cukup mudah dan bukan di jalur macet. dan yang sangat menarik adalah pagi pagi mobil di cuci dari pihak hotel.",,1
priority_model_disagreement,model_high_confidence_disagreement,Lokasi,12238,none,negatif,0.8935,negatif,likely_missing_label,mal,"aspect evidence: mal; mixed/weak sentiment: positive: bagus, baik, nyaman; negative: tidak, ga , kecil",Traveloka,Hotel Santika Mega City Bekasi,6/10/2020,"pada dasarnya hotel ini sudah bagus baik dalam pelayanan, hanya saja kenyamanan kami menginap terganggu dengan 1 kamar yang terlalu berisik pada saat menginap. anak kecil berlarian di lorong orang tuanya malah ngobrol di depan kamar dengan suara yang aga keras. tidak hanya pagi, siang, sore dan malam saja bahkan tengah malam sekitar jam setengah 12 lebih pun mereka masih saja berisik. sampai kami harus pindah kamar yang letaknya aga jauh karna masalah ini. setelah pindah kamar, suara tersebut tetap saja terdengar (anak kecil teriak orang tuanya ngobrol juga suara nya kencang). sangat amat menganggu kenyamanan kami menginap disini. kami ingin menginap dengan nyaman, tapi terganggu tidur kami hanya karna 1 kamar yang tidak tahu bagaimana harus bersikap menjadu tamu juga yang menginap di hotel ini. ketika kami komplain dengan pihak hotel sampai beberapa kali karna kejadian tersebut terulang terus, tapi pihak hotel hanya menelpon kamar tersebut saja terus menerus, tidak ada sanksi tegas yang diberikan. pindah kamar dengan beda lantai kembali katanya sudah tidak bisa karna sudah memasuki malam hari tidak ada tindak lanjutnya lagi. lain kali pihak hotel seharusnya bisa memberikan ketegasan kepada tamu yang seperti itu, jangan hanya cuma menegur lewat telpon saja ke kamar tersebut. kalau sudah 3x ditegur lewat telpon, seharusnya untuk ke 4x nya diberikan sanksi tegas agar tamu lainnya nyaman untuk beristirahat. itu saja yang membuat kami kecewa menginap disini. terima kasih",,1
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,8901,none,positif,0.8918,positif,likely_missing_label,bersih,"aspect evidence: bersih; mixed/weak sentiment: positive: bersih, mudah; negative: ga ",Traveloka,Hotel Santika Cirebon,5/21/2025,"hotel santika memang pilihan tepat sebagai akomodasi saat melakukan perjalanan dinas. lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor.",,1
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,2834,none,negatif,0.8918,negatif,likely_missing_label,air,"aspect evidence: air; mixed/weak sentiment: positive: nyaman, aman, berfungsi; negative: kurang, tidak, kotor",Agoda,Hotel Santika Depok,1/19/2022,floordrain tidak berfungsi. jadi saya harus buka floordrainnya biar airnya tidak menggenang. saya bermalam di unit yang exclusive. hanya dapat buah 3 pcs. penerangan kurang. karpet di ruang family kotor banget sama sofa belum pernah di dryclean kayaknya. selain hal ini nyaman.,,1
priority_model_disagreement,model_high_confidence_disagreement,Harga,12915,none,positif,0.8901,positif,likely_missing_label,budget,"aspect evidence: budget; sentiment evidence: nyaman, bersih, aman",Traveloka,Hotel Santika Mega City Bekasi,6/20/2018,"tempat nyaman, bersih sesuai dengan budget, kolam renang bersih.",,1
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,5539,none,positif,0.888,positif,likely_missing_label,"bersih, kebersihan","aspect evidence: bersih, kebersihan; mixed/weak sentiment: positive: bersih; negative: ga ",Tiket,Hotel Santika Cirebon,9/9/2024,kebersihan terjaga maksimal. kolam renang dengan pemandangan indah. kolam renang dengan pemandangan indah.,,1
priority_model_disagreement,model_high_confidence_disagreement,Lokasi,10012,none,positif,0.8841,positif,likely_missing_label,"lokasi, strategis, dekat","aspect evidence: lokasi, strategis, dekat; mixed/weak sentiment: positive: bersih, strategis, dekat; negative: tidak, lambat, tidak ada",Traveloka,Hotel Santika Depok,4/9/2025,"plusnya + lokasi strategis + kamar bersih, air conditioner dingin, water heater berfungsi + makanan bervariasi + ada keterlambatan wkt cek in dari hotel tapi dikasih tambahan wkt 2 jam untuk cek out minusnya - lantai kamar mandi dekat wastafel airnya menggenang terus - tidak ada hair dryer dan kulkas - tidak ada galon isi ulang air, jd hanya dibatasi 4 botol",,1
priority_model_disagreement,model_high_confidence_disagreement,Pelayanan,7506,none,positif,0.8839,positif,likely_missing_label,layanan,aspect evidence: layanan; mixed/weak sentiment: positive: bagus; negative: gak,Traveloka,Hotel Santika Bogor,11/22/2023,hotel dan layanan yang bagus. lokasi agak membingungkan.,,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,11939,none,negatif,0.8835,negatif,likely_missing_label,view,"aspect evidence: view; mixed/weak sentiment: positive: baik, bersih, enak; negative: kurang, ga ",Traveloka,Hotel Santika Mega City Bekasi,5/15/2024,"pelayan baik, kebersihan baik banget. cuma view-nya kurang menarik. makanan juga enak kok.",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,7633,none,positif,0.8761,positif,likely_missing_label,nyaman,"aspect evidence: nyaman; sentiment evidence: nyaman, aman",Traveloka,Hotel Santika Bogor,8/24/2022,nyaman dan sarapan pagi yang nikmat.,,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,2293,none,positif,0.8736,positif,likely_missing_label,"kamar, luas","aspect evidence: kamar, luas; sentiment evidence: bersih, cepat, mudah, luas",Agoda,Hotel Santika Cirebon,10/19/2014,"cek in dan cek out cepat dan mudah, kamar pun luas dan bersih",,1
priority_model_disagreement,model_high_confidence_disagreement,Pelayanan,2558,none,positif,0.8719,positif,likely_missing_label,check-in,"aspect evidence: check-in; sentiment evidence: bagus, strategis, cepat, luas, dekat",Agoda,Hotel Santika Depok,11/13/2020,"hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat.",,1
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,8861,none,negatif,0.8662,negatif,likely_missing_label,"kotor, bau","aspect evidence: kotor, bau; sentiment evidence: tidak, bau, kotor, tidak ada",Traveloka,Hotel Santika Cirebon,4/1/2026,air conditioner mati dan penghisap udara kamar mandi mati. bayangkan suasana kamarnya dan baunya? bau kotoran semerbak masuk kamar tidur anak kami. tidak ada tindakan apa-apa sesudah kami mengadu ke pihak hotel.,,1
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,2222,none,positif,0.8645,positif,likely_missing_label,"bersih, kebersihan","aspect evidence: bersih, kebersihan; mixed/weak sentiment: positive: baik, bersih; negative: berisik",Agoda,Hotel Santika Cirebon,1/3/2018,"makan pagi ok, sdh siap dari pagi kamar sblm jam 12 sudah siap mbl dicuci, good suasana dan kebersihan secara keseluruhan baik lingkungan sekitar hotel berisik",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,5984,none,positif,0.8644,positif,likely_missing_label,nyaman,"aspect evidence: nyaman; sentiment evidence: ramah, nyaman, strategis, aman",Traveloka,Hotel Santika Bandung,2/12/2025,"nyaman, lokasi strategis, receptionist nya ramah banget",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,3634,none,positif,0.8586,positif,likely_missing_label,kamar,aspect evidence: kamar; sentiment evidence: lezat,Tiket,Hotel Santika Bandung,2/25/2025,kamar segar banget. hidangan tradisional lezat.,,1
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,4228,none,positif,0.8582,positif,likely_missing_label,"bersih, kebersihan","aspect evidence: bersih, kebersihan; sentiment evidence: bersih",Tiket,Hotel Santika Mega City Bekasi,12/29/2025,kebersihan terjaga. layanan luar biasa.,,1
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,616,none,positif,0.8552,positif,likely_missing_label,"bersih, kebersihan","aspect evidence: bersih, kebersihan; sentiment evidence: bagus, nyaman, bersih, aman",Agoda,Hotel Santika Bandung,1/2/2014,"hotel yang bagus dalam servis, kebersihan dan kenyamanan",,1
priority_model_disagreement,model_high_confidence_disagreement,Makanan,12174,none,positif,0.8528,positif,likely_missing_label,enak,"aspect evidence: enak; sentiment evidence: nyaman, enak, puas, aman",Traveloka,Hotel Santika Mega City Bekasi,3/10/2021,nyaman puas kenyang enaklah overall,,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,9515,none,positif,0.8524,positif,likely_missing_label,"kamar, luas","aspect evidence: kamar, luas; sentiment evidence: bersih, strategis, luas",Traveloka,Hotel Santika Cirebon,6/21/2017,"tempat strategis, parkiran luas, kamar bersih. good",,1
priority_model_disagreement,model_high_confidence_disagreement,Pelayanan,2386,none,positif,0.8511,positif,likely_missing_label,ramah,"aspect evidence: ramah; mixed/weak sentiment: positive: baik, ramah, nyaman; negative: tidak, ga ",Agoda,Hotel Santika Cirebon,12/30/2010,"tempat bersih, kamar tidak terlalu besar, tapi baik lah. penerimaan sangat ramah. parkir juga luas kolam renang kelihatan dari tempat menginap, dan kelihatannya bersih dan nyaman, sayang kami tidak sempat menikmati kolam renang.",,1
priority_model_disagreement,model_high_confidence_disagreement,Makanan,2488,none,positif,0.8455,positif,likely_missing_label,"sarapan, enak","aspect evidence: sarapan, enak; sentiment evidence: bagus, enak",Agoda,Hotel Santika Depok,12/1/2024,"pelayanan bagus, fasilitas bagus, sarapannya enak",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,7854,none,netral,0.8444,netral,likely_missing_label,"kamar, ac","aspect evidence: kamar, ac; mixed/weak sentiment: positive: bersih, lengkap, aman; negative: tidak, tidak ada",Traveloka,Hotel Santika Bogor,10/14/2020,"saat pertama check in perlengkapan mandi tidak ada. bahkan gula pasirnya keras, kami pikir layanan kamar akan datang nanti untuk diisi karena mungkin ini adalah kebijakan hotel. keesokan harinya saya meminta untuk bersih-bersih, kemudian mereka memberikan perlengkapan mandi yang layak dan kopi sachet. tidak ada parkir gratis untuk tamu, tempat parkir terbatas dan mereka menunjukkan mal di dekat taman dan masih tidak ada parkir gratis",,1
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,5719,none,negatif,0.8444,negatif,likely_missing_label,"shower, air panas, air","aspect evidence: shower, air panas, air; mixed/weak sentiment: positive: baik; negative: kurang, panas",Tiket,Hotel Santika Cirebon,4/21/2019,"lokasi strstegis, makan pagi baik, cuma air panas kurang dan shower kurang kencang.",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,9361,none,positif,0.8439,positif,likely_missing_label,kamar,"aspect evidence: kamar; sentiment evidence: bersih, strategis, recommended",Traveloka,Hotel Santika Cirebon,5/16/2018,"tempatnya cukup strategis, kamar bersih dan rapi. recommended bagi yang bawa keluarga.",,1
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,2468,none,positif,0.8437,positif,likely_missing_label,"bersih, kebersihan","aspect evidence: bersih, kebersihan; mixed/weak sentiment: positive: nyaman, bersih, strategis; negative: ga ",Agoda,Hotel Santika Depok,3/29/2026,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis,,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,14064,none,negatif,0.8359,negatif,likely_missing_label,panas,"aspect evidence: panas; sentiment evidence: kurang, tidak, panas, tidak ada",Traveloka,Hotel Santika Tasikmalaya,2/6/2019,hotel tidak ada karpet dan air panas kurang panas.,,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,2311,none,positif,0.8354,positif,likely_missing_label,"nyaman, kamar","aspect evidence: nyaman, kamar; sentiment evidence: nyaman, lezat, aman",Agoda,Hotel Santika Cirebon,10/28/2013,"kamar yang sangat nyaman, staf yang sangat raman, dan makanan yang lezat untuk dinikmati",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,6487,none,positif,0.8347,positif,likely_missing_label,nyaman,"aspect evidence: nyaman; sentiment evidence: ramah, nyaman, bersih, strategis, enak",Traveloka,Hotel Santika Bandung,12/6/2017,"lokasi strategis, sangat bersih dan nyaman. pelayanan ramah dan cepat. breakfast enak dan banyak menunya. saya puas.",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,2558,none,positif,0.8267,positif,likely_missing_label,"kamar, luas","aspect evidence: kamar, luas; sentiment evidence: bagus, strategis, cepat, luas, dekat",Agoda,Hotel Santika Depok,11/13/2020,"hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat.",,1
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,12145,none,positif,0.826,positif,likely_missing_label,"bersih, kebersihan","aspect evidence: bersih, kebersihan; mixed/weak sentiment: positive: baik, bersih, puas; negative: kurang, kecil",Traveloka,Hotel Santika Mega City Bekasi,6/2/2021,"puas banget sama pelayanan, kebersihan dan fasilitasnya. cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil. overall baik kok tapi! bakal staycation ke sini lagi next time.",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,2468,none,positif,0.8227,positif,likely_missing_label,nyaman,"aspect evidence: nyaman; mixed/weak sentiment: positive: nyaman, bersih, strategis; negative: ga ",Agoda,Hotel Santika Depok,3/29/2026,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis,,1
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,5207,none,negatif,0.8216,negatif,likely_missing_label,debu,"aspect evidence: debu; mixed/weak sentiment: positive: dekat; negative: tidak, lama, tidak ada",Tiket,Hotel Santika Mega City Bekasi,3/14/2021,tirainya berdebu dan tidak ada shower head hanya pipa air. air conditioner membutuhkan waktu yang cukup lama untuk mendinginkan ruangan. tempat tidur king sebenarnya adalah dua tempat tidur twin yang diletakkan berdekatan.,,1
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,9551,none,positif,0.8199,positif,likely_missing_label,"kolam, kolam renang","aspect evidence: kolam, kolam renang; mixed/weak sentiment: positive: ramah, nyaman, aman; negative: ga , kecil",Traveloka,Hotel Santika Cirebon,5/17/2017,"liburan bareng keluarga kecil, pelayanan ramah, makanan kecil murah dan bisa makan di kolam renang juga, kamar nyaman.",,1
